"True","Estim","ParamBoot","Boot","FactorParamBoot","FactorBoot"
"88",3.26910656105085,3.50429808840782,3.3007328942759,3.34235359874219,3.32600960455156,3.33454920542762
"89",4.39238086405967,4.35228643521108,4.34232874244121,4.31988976231658,4.37388058269268,4.35438063335556
"90",5.60884414953763,5.33859060748475,5.32636563791886,5.26669918927668,5.24590824023562,5.26333725569
"91",7.75978244842974,7.75978244842974,7.75915905884975,7.75654159658512,7.75835235604115,7.75866521443336
"92",5.04304264705875,5.07614672265832,5.05455294402497,5.04750810777619,5.04771996552202,5.04295148266301
"93",6.25794150594025,5.9550154694817,5.9582173342267,5.91788059783489,5.91811711186087,5.91706845744293
"94",1.75184016086731,1.77993112772071,1.80730390469474,1.8098245782215,1.82581088237588,1.80213044654887
"95",8.50309573195922,8.22862055221396,8.24112784867323,8.2473784069633,8.24038512493221,8.21616069536474
"96",8.42244672085301,8.67619914567426,8.68129838517078,8.69114206902393,8.68101695911871,8.65014223670666
"97",5.08547143615014,5.08547143615014,5.08547143615014,5.08547143615014,5.08547143615014,5.08547143615014
"98",4.7416790116562,4.7416790116562,4.74197378455299,4.7416790116562,4.74191640053526,4.7416790116562
"99",3.01140228112895,3.00595020779207,2.99449864422294,2.99967135595249,2.98568247916257,2.9879519849793
"100",1.21135154652919,1.65683981579908,1.60966221981714,1.648753379098,1.55551724214291,1.59152441341994
"101",3.85474287324171,3.87634094363208,3.92024376873615,3.94085264415387,3.90273453983404,3.94620539708938
"102",5.70173170140928,5.70173170140928,5.70173170140928,5.70233866516484,5.70173170140928,5.70249784267061
"103",6.25564770305836,6.22758407430445,6.28867437066588,6.30105183964258,6.28813858504169,6.27974148782361
"104",0.740731903939193,0.76106270172703,0.761520473439828,0.760505085248021,0.756391016011535,0.757082324957169
"105",1.7323000747639,1.71807026241852,1.71941880055413,1.71458522288985,1.72187472198597,1.71691489764298
"106",4.76561462382856,4.7774871513056,4.76823786694763,4.78488872896349,4.78215891266424,4.79106991097274
"107",3.63689207952954,3.79403691410722,3.74213813703443,3.7421283332951,3.76473649745043,3.76102208281878
"108",4.34479033584618,4.4439107955402,4.45349150888752,4.46409671053284,4.47695891207087,4.47755009881459
"109",3.59508767617509,3.33051361704408,3.27934235192077,3.2339316996657,3.29361701953456,3.32066212574522
"110",5.92301825470122,5.94224658802663,5.9427234180816,5.94551810475079,5.94679100300715,5.93736526920152
"111",8.60943414812793,8.75574815125766,8.64364844954975,8.64584519794019,8.65324433458277,8.63399195681777
"112",1.98441165114119,2.08599651166902,2.10451108428072,2.08814376560614,2.09759555322526,2.09013340691472
"113",2.49792228299466,2.43745537185767,2.50417246002903,2.4395155053808,2.43053806088375,2.42708990288839
"114",3.3719244345797,3.48619075057855,3.46547203252177,3.46987378537532,3.47260980153223,3.49272076338906
"115",0.970446085135521,0.948171692527508,0.958164954319343,0.952835481081376,0.954165195203895,0.94968357251328
"116",1.60711271681196,1.61417793106533,1.61665364128999,1.61401726324066,1.61756471406652,1.61571107608176
"117",3.51530369218402,3.49926477770029,3.48979622173559,3.44589462617224,3.47486377470877,3.57055250524103
